PK_TEMPO;data;dia;mes;ano;trimestre
2ce1969d77c683f414d1eb15b9c333d6d60c426ec3a76d63d844de26cce9a3fe;2017-12-17;17;12;2017;4
857278f54b0e1cbf57900206453ba3f41c36359b0c15a9c1e556137a76d4665f;2018-06-03;3;6;2018;2
cb0fdf24679a7b15adbe781fbe79d95965e59ea6eec8ae7b82efe84e7b62c38b;2017-05-31;31;5;2017;2
5344614e310d949d9eee87b472e9643ca6e89d1a3d416122611d884f0c2cde69;2017-06-30;30;6;2017;2
07bae6534573e3697e2737f97ec6852659e774f2f1be5f15f850dcd322146fa9;2017-09-01;1;9;2017;3
2972bed86662b09d91c2b4f2bbff593eda9ab317f6d1e37e13c6696ad724be42;2019-01-14;14;1;2019;1
a7e17d023a09dd018b9f861c366863460f95ee6fe69fafb5aea949d214c6d354;2018-12-08;8;12;2018;4
0a1566515256198432fa76578d16c70e22a0a6ddeceb811021f845d10c2643b4;2017-02-08;8;2;2017;1
a195ec95e0d00efb29106e56da438e40db06f085ed91d1421caaad36f284f823;2018-03-25;25;3;2018;1
88e9c52a0ec870bdfc4242ce02aabfb22a63564ce2486c01a3dcc95cb45c748f;2019-01-07;7;1;2019;1
c6be9740baca4cf4b1f4008bd594108e6ada414f83fb370e9710cd51017741d0;2019-02-12;12;2;2019;1
1046c6019471cb6c2c86171f559e9783dcaf98d8f8ccac3b2b2fe584e3dbb57f;2019-03-06;6;3;2019;1
9aaf238a66e6f864ca689bfaeeedd5a4ee5f525f6831fcf3cc1cde38bd6790ec;2018-02-07;7;2;2018;1
dc60c7753480c8870abeaffd011343b96d4a5fb4f63e9170ee56cb1abb083642;2017-04-07;7;4;2017;2
d70138c941f8e4c399f59993b121507e7564727e19ca491d5557029f251e74e1;2018-11-17;17;11;2018;4
f30b239e4754f0ecc6eaa31461fb26af03cb3fa963741df4ee3ef46770802b62;2018-06-26;26;6;2018;2
842aaa279595593cceea507ab9998ac11d8ece9c77aa59b2d97ec055242d9d98;2018-06-28;28;6;2018;2
